Datetime,X1,Y1,X2,Y2
2021-09-05 07:22:13,1000.0,168.65,992.0,170.25
2021-09-05 07:22:15,1009.6,167.05,998.4,176.65
2021-09-05 07:22:17,1017.6,167.05,1004.8,176.65
2021-09-05 07:22:19,1020.8,168.65,1012.8,187.85
2021-09-05 07:22:21,1025.6,171.85,1017.6,181.45
2021-09-05 07:22:23,1038.4,171.85,1025.6,187.85
2021-09-05 07:22:25,1044.8,178.25,1035.2,178.25
2021-09-05 07:22:43,1121.6,186.25,1104.0,199.05
2021-09-05 07:22:45,1129.6,187.85,1121.6,199.05
2021-09-05 07:22:47,1137.6,194.25,1120.0,207.05
2021-09-05 07:22:49,1150.4,192.65,1131.2,208.65
2021-09-05 07:22:51,1152.0,199.05,1134.4,211.85
2021-09-05 07:22:53,1163.2,202.25,1142.4,211.85
2021-09-05 07:22:55,1171.2,192.65,1153.6,215.05
2021-09-05 07:22:57,1180.8,200.65,1163.2,218.25
2021-09-05 07:22:59,1188.8,205.45,1176.0,208.65
2021-09-05 07:23:01,1193.6,205.45,1179.2,216.65
2021-09-05 07:23:03,1206.4,213.45,1185.6,219.85
2021-09-05 07:23:05,1219.2,221.45,1201.6,224.65
2021-09-05 07:23:07,1228.8,213.45,1203.2,231.05
2021-09-05 07:23:09,1232.0,226.25,1214.4,237.45
2021-09-05 07:23:11,1249.6,227.85,1222.4,237.45
2021-09-05 07:23:13,1251.2,232.65,1227.2,240.65
2021-09-05 07:23:15,1264.0,232.65,1241.6,245.45
2021-09-05 07:23:17,1265.6,245.45,1243.2,248.65
2021-09-05 07:23:19,1276.8,248.65,1260.8,255.05
2021-09-05 07:23:21,1286.4,253.45,1267.2,251.85
2021-09-05 07:23:23,1289.6,259.85,1275.2,259.85
2021-09-05 07:23:25,1299.2,261.45,1284.8,263.05
2021-09-05 07:23:27,1312.0,269.45,1292.8,267.85
